C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/10/2017,16:00:00,REGULAR,0005615545,0001247252                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/10/2017,20:00:00,REGULAR,0005615545,0001247285                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/11/2017,00:00:00,REGULAR,0005615545,0001247297                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/11/2017,04:00:00,REGULAR,0005615545,0001247300                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/11/2017,08:00:00,REGULAR,0005615545,0001247307                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/11/2017,12:00:00,REGULAR,0005615545,0001247360                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/11/2017,16:00:00,REGULAR,0005615545,0001247406                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/11/2017,20:00:00,REGULAR,0005615608,0001247443                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/12/2017,00:00:00,REGULAR,0005615700,0001247458                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/12/2017,04:00:00,REGULAR,0005615704,0001247462                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/12/2017,08:00:00,REGULAR,0005615730,0001247491                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/12/2017,12:00:00,REGULAR,0005615864,0001247619                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/12/2017,16:00:00,REGULAR,0005616095,0001247669                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/12/2017,20:00:00,REGULAR,0005616672,0001247719                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/13/2017,00:00:00,REGULAR,0005616812,0001247735                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/13/2017,04:00:00,REGULAR,0005616822,0001247737                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/13/2017,08:00:00,REGULAR,0005616861,0001247794                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/13/2017,12:00:00,REGULAR,0005616967,0001247928                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/13/2017,16:00:00,REGULAR,0005617149,0001247990                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/13/2017,20:00:00,REGULAR,0005617740,0001248040                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/14/2017,00:00:00,REGULAR,0005617867,0001248062                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/14/2017,04:00:00,REGULAR,0005617877,0001248067                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/14/2017,08:00:00,REGULAR,0005617910,0001248111                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/14/2017,12:00:00,REGULAR,0005618055,0001248259                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/14/2017,16:00:00,REGULAR,0005618293,0001248319                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/14/2017,20:00:00,REGULAR,0005618918,0001248370                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/15/2017,00:00:00,REGULAR,0005619083,0001248388                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/15/2017,04:00:00,REGULAR,0005619098,0001248391                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/15/2017,08:00:00,REGULAR,0005619126,0001248441                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/15/2017,12:00:00,REGULAR,0005619274,0001248575                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/15/2017,16:00:00,REGULAR,0005619531,0001248635                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/15/2017,20:00:00,REGULAR,0005620170,0001248698                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/16/2017,00:00:00,REGULAR,0005620354,0001248717                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/16/2017,04:00:00,REGULAR,0005620373,0001248723                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/16/2017,08:00:00,REGULAR,0005620397,0001248765                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/16/2017,12:00:00,REGULAR,0005620485,0001248864                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/16/2017,16:00:00,REGULAR,0005620740,0001248925                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/16/2017,20:00:00,REGULAR,0005621333,0001248974                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/10/2017,00:00:00,REGULAR,0000926151,0003434712                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/10/2017,04:00:00,REGULAR,0000926159,0003434730                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/10/2017,08:00:00,REGULAR,0000926163,0003434800                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/10/2017,12:00:00,REGULAR,0000926196,0003435115                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/10/2017,16:00:00,REGULAR,0000926278,0003435421                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/10/2017,20:00:00,REGULAR,0000926424,0003435696                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/11/2017,00:00:00,REGULAR,0000926524,0003435867                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/11/2017,04:00:00,REGULAR,0000926538,0003435886                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/11/2017,08:00:00,REGULAR,0000926540,0003435926                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/11/2017,12:00:00,REGULAR,0000926581,0003436093                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/11/2017,16:00:00,REGULAR,0000926676,0003436343                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/11/2017,20:00:00,REGULAR,0000926798,0003436565                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/12/2017,00:00:00,REGULAR,0000926860,0003436699                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/12/2017,04:00:00,REGULAR,0000926865,0003436710                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/12/2017,08:00:00,REGULAR,0000926883,0003436892                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/12/2017,12:00:00,REGULAR,0000926944,0003437546                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/12/2017,16:00:00,REGULAR,0000927047,0003437864                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/12/2017,20:00:00,REGULAR,0000927333,0003438394                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/13/2017,00:00:00,REGULAR,0000927412,0003438511                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/13/2017,04:00:00,REGULAR,0000927420,0003438518                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/13/2017,08:00:00,REGULAR,0000927435,0003438786                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/13/2017,12:00:00,REGULAR,0000927501,0003439601                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/13/2017,16:00:00,REGULAR,0000927604,0003439977                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/13/2017,20:00:00,REGULAR,0000927865,0003440561                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/14/2017,00:00:00,REGULAR,0000927973,0003440737                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/14/2017,04:00:00,REGULAR,0000927978,0003440750                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/14/2017,08:00:00,REGULAR,0000927986,0003441031                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/14/2017,12:00:00,REGULAR,0000928047,0003441879                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/14/2017,16:00:00,REGULAR,0000928150,0003442287                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/14/2017,20:00:00,REGULAR,0000928466,0003442891                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/15/2017,00:00:00,REGULAR,0000928587,0003443091                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/15/2017,04:00:00,REGULAR,0000928596,0003443102                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/15/2017,08:00:00,REGULAR,0000928606,0003443388                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/15/2017,12:00:00,REGULAR,0000928673,0003444166                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/15/2017,16:00:00,REGULAR,0000928794,0003444534                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/15/2017,20:00:00,REGULAR,0000929107,0003445155                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/16/2017,00:00:00,REGULAR,0000929221,0003445356                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/16/2017,04:00:00,REGULAR,0000929230,0003445366                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/16/2017,08:00:00,REGULAR,0000929240,0003445630                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/16/2017,12:00:00,REGULAR,0000929314,0003446402                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/16/2017,16:00:00,REGULAR,0000929422,0003446766                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/16/2017,20:00:00,REGULAR,0000929707,0003447333                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/10/2017,00:00:00,REGULAR,0000316580,0000509875                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/10/2017,04:00:00,REGULAR,0000316617,0000509906                                            
